injury_status,practice_description,team,last_name,birth_country,search_full_name,sport,gsis_id,high_school,depth_chart_position,college,first_name,active,birth_state,news_updated,full_name,rotoworld_id,age,weight,swish_id,depth_chart_order,status,competitions,team_abbr,injury_body_part,hashtag,search_last_name,height,number,player_id,search_first_name,birth_city,opta_id,injury_start_date,pandascore_id,sportradar_id,birth_date,fantasy_data_id,yahoo_id,team_changed_at,espn_id,years_exp,fantasy_positions,rotowire_id,search_rank,position,practice_participation,stats_id,metadata,oddsjam_id,injury_notes
,,,Monangai,,kevinmonangai,nfl,,,,Villanova,Kevin,False,,,Kevin Monangai,,25.0,209,,,Inactive,[],,,#kevinmonangai-NFL-FA-39,monangai,"5'8""",39.0,2748,kevin,,,,,2d424c27-e3ff-4d64-8945-e8dd51a8710f,1993-03-04,17216.0,29171.0,,2565602.0,1.0,['RB'],10766.0,9999999.0,RB,,599149.0,,,
,,,Weaver,,evanweaver,nfl,,Gonzaga Prep (WA),,California,Evan,True,,1599342357659.0,Evan Weaver,,23.0,245,923393.0,,Active,[],,,#evanweaver-NFL-FA-0,weaver,75,0.0,7040,evan,,,,,41dabf34-2055-4420-8aef-c222d7df48e6,1998-08-11,22002.0,32872.0,,4035875.0,2.0,['LB'],14752.0,1875.0,LB,,,{'channel_id': '1116853326005141504'},,
,,,Lake,,darrenlake,nfl,,,,Alabama,Darren,False,,,Darren Lake,,24.0,315,,,Inactive,[],,,#darrenlake-NFL-FA-62,lake,"6'3""",62.0,3794,darren,,,,,,1993-12-28,18608.0,29768.0,,2979851.0,0.0,['DL'],11553.0,9999999.0,NT,,,,,
,,JAX,Farrell,,lukefarrell,nfl,,Perry (OH),TE,Ohio State,Luke,True,,1706051757788.0,Luke Farrell,,26.0,250,946541.0,2.0,Active,[],,,#lukefarrell-NFL-JAX-89,farrell,77,89.0,7842,luke,,,,,8a1f0e8e-6521-4a94-9934-ad4f76a25fd9,1997-10-14,,,,,3.0,['TE'],15566.0,560.0,TE,,,"{'channel_id': '1113708891251699712', 'rookie_year': '2021'}",541D37FD2884,
,,,Adams,,joshadams,nfl,00-0034457,Central Bucks South (PA),,Notre Dame,Josh,True,,1652291437432.0,Josh Adams,13218.0,25.0,225,884549.0,,Active,[],,,#joshadams-NFL-FA-31,adams,74,31.0,5136,josh,,,,,23b17031-de21-412d-8182-5a4bca1049a1,1996-10-29,20075.0,31567.0,,3932420.0,4.0,['RB'],12563.0,9999999.0,RB,,884549.0,{'channel_id': '1116853059566174208'},,
IR,,LV,Fox,,tomarifox,nfl,,Collins Hill (GA),DL,North Carolina,Tomari,True,,1722993314543.0,Tomari Fox,,23.0,288,1176328.0,,Inactive,[],,Undisclosed,#tomarifox-NFL-LV-60,fox,74,60.0,11853,tomari,,,,,84b73190-04fd-11ef-b8fd-c37a38b341af,2001-03-24,,,,,0.0,['DL'],18138.0,9999999.0,DL,,,"{'channel_id': '1113708770829037568', 'rookie_year': '2024'}",3F6F66A4810D,
,,HOU,Edwards,,marioedwards,nfl,00-0032265,Billy Ryan (TX),RDT,Florida State,Mario,True,,1722280807162.0,Mario Edwards,10475.0,30.0,280,691516.0,1.0,Active,[],,,#marioedwards-NFL-HOU-97,edwards,75,97.0,2340,mario,,,,,fdfb980b-1493-4698-9b97-f445a8f495da,1994-01-25,16796.0,28423.0,,2969921.0,9.0,['DL'],10450.0,9999999.0,DE,,,"{'channel_id': '1113708789598547968', 'rookie_year': '2015'}",7857B1B57A38,
Questionable,,,O'Neal,,leononeal,nfl,,Cypress Springs (TX),,Texas A&M,Leon,True,,1660343739005.0,Leon O'Neal,,24.0,210,1128995.0,,Active,[],,Undisclosed,#leononeal-NFL-FA-0,oneal,73,0.0,8317,leon,,,,,c72770a0-ca83-11ec-97ae-e1573849d1a6,1998-12-23,,,,,1.0,['DB'],16188.0,9999999.0,DB,,,"{'channel_id': '1116853481739649024', 'source_id': '91183e44-e967-4516-abd1-8249409fdfe1', 'years_exp_shift': '1'}",,
,,,Cajuste,,devoncajuste,nfl,00-0032716,Holy Cross,,Stanford,Devon,True,,1535758616735.0,Devon Cajuste,,28.0,227,,,Active,[],,,#devoncajuste-NFL-FA-83,cajuste,76,83.0,3500,devon,,,,,d64fbf0c-f562-47cc-8bcd-a1a77517cc63,1993-01-31,18266.0,29764.0,,2577123.0,6.0,['WR'],10932.0,9999999.0,WR,,598956.0,{'channel_id': '1116852869518065664'},,
,,,Ealy,,adrianealy,nfl,,East Ascension (LA),,Oklahoma,Adrian,True,,,Adrian Ealy,,23.0,321,1062008.0,,Active,[],,,#adrianealy-NFL-FA-72,ealy,78,72.0,7969,adrian,,,,,7256fbcb-dfc1-4f06-aac5-7ecad322984e,1999-08-07,,,,,1.0,['OT'],,9999999.0,OT,,,{'channel_id': '1116853444238376960'},,
NA,,,Bower,,bobower,nfl,,West Branch,,Iowa,Bo,True,,,Bo Bower,,27.0,235,,,Inactive,[],,,#bobower-NFL-FA-45,bower,74,45.0,5765,bo,,,,,5d3cb6eb-54d5-48d4-81fc-7684da2c17ca,1994-10-31,20672.0,31761.0,,3040149.0,4.0,['LB'],,9999999.0,OLB,,,{'channel_id': '1116853159982006272'},,
,,,Bajema,,billybajema,nfl,,,,Oklahoma State,Billy,False,,,Billy Bajema,,34.0,259,,,Inactive,[],,,#billybajema-NFL-FA-86,bajema,"6'5""",86.0,450,billy,,,,,,1982-10-31,9253.0,,,,9.0,['TE'],,9999999.0,TE,,,,,
,,,Brown,,jalilbrown,nfl,,South Mountain (AZ),,Colorado,Jalil,False,,,Jalil Brown,,32.0,210,,,Inactive,[],,,#jalilbrown-NFL-FA-31,brown,"6'1""",31.0,877,jalil,,,,,10f54c36-26b2-4c6a-94c0-9fed9032cee1,1987-10-14,13033.0,24905.0,,14066.0,9.0,['DB'],7519.0,9999999.0,CB,,,,,
,,,Thompson,,juwanthompson,nfl,,Woodward Academy (GA),,Duke,Juwan,False,,,Juwan Thompson,9831.0,28.0,225,,,Inactive,[],,,#juwanthompson-NFL-FA-40,thompson,"5'11""",40.0,2011,juwan,,,,,97f387a6-76fe-4ac3-b1db-ae4dc74d7ffa,1992-05-13,16287.0,27832.0,,17045.0,6.0,['RB'],9837.0,9999999.0,RB,,556180.0,,,
,,,Crum,,mickycrum,nfl, 00-0035740,Hamilton Township,,Louisville,Micky,True,,,Micky Crum,,26.0,258,,,Active,[],,,#mickycrum-NFL-FA-46,crum,76,46.0,6737,micky,,,,,3465559b-8923-4342-8853-c59f8ffadcaa,1995-10-13,21658.0,32647.0,,3116661.0,3.0,['TE'],14346.0,9999999.0,TE,,830875.0,{'channel_id': '1116853300604436480'},,
,,,Stanley,,jettstanley,nfl,,Heritage (CA),,Sacramento State,Jett,True,,,Jett Stanley,,,284,,,Active,[],,,#jettstanley-NFL-FA,stanley,76,,12359,jett,,,,,56641a00-0ca6-11ef-952a-13cf87b4be75,,,,,,0.0,['DL'],,9999999.0,DT,,,"{'channel_id': '1113708818165952512', 'rookie_year': '2024'}",,
Questionable,,,Charlton,,tacocharlton,nfl,00-0033541,Central (OH),,Michigan,Taco,True,,1693161623039.0,Taco Charlton,12251.0,28.0,270,728217.0,,Inactive,[],,Undisclosed,#tacocharlton-NFL-FA-77,charlton,77,77.0,4073,taco,,,,,aaff3798-2b50-47a1-b629-5771454a45d7,1994-11-07,18919.0,30141.0,,3045210.0,6.0,['DL'],11908.0,9999999.0,DE,,,{'channel_id': '1116852922559234048'},,
,,,Stingily,,byronstingily,nfl,,Romeoville (IL),,Louisville,Byron,False,,,Byron Stingily,,32.0,318,,,Inactive,[],,,#byronstingily-NFL-FA-75,stingily,"6'5""",75.0,848,byron,,,,,34d8af21-6e0c-4f06-89e5-15c28b1bc0f9,1988-09-09,12930.0,24962.0,,14187.0,9.0,['OL'],7575.0,9999999.0,T,,,,,
,,,Dixon,,anthonydixon,nfl,,Terry (MS),,Mississippi State,Anthony,False,,,Anthony Dixon,5773.0,32.0,233,,,Inactive,[],,,#anthonydixon-NFL-FA-26,dixon,"6'1""",26.0,727,anthony,,,,,3fed6499-3bcb-42f4-b583-5579a97b5e30,1987-09-24,12285.0,,,13212.0,10.0,['RB'],6484.0,9999999.0,RB,,332297.0,,,
,,,Wade,,aaronwade,nfl,,,,,Aaron,False,,,Aaron Wade,,,,,,Inactive,[],,,#aaronwade-NFL-FA-0,wade,,0.0,6242,aaron,,,,,,,21173.0,,,3125366.0,0.0,['DB'],,9999999.0,S,,,,,
,,,Winstead,,isaiahwinstead,nfl,,Highlang Springs (VA),,East Carolina,Isaiah,True,,1724812860328.0,Isaiah Winstead,,25.0,213,1054872.0,,Active,[],,,#isaiahwinstead-NFL-FA-31,winstead,76,31.0,11232,isaiah,,,,,23cd4b70-ea0b-11ed-9937-afc55efa97bf,1999-08-09,,,,,1.0,['WR'],17494.0,396.0,WR,,,"{'channel_id': '1116852667457470464', 'rookie_year': '2023'}",025A5CC960C7,
,,,Fruechte,,isaacfruechte,nfl,,Caledonia (MN),,Minnesota,Isaac,False,,,Isaac Fruechte,,30.0,202,,,Inactive,[],,,#isaacfruechte-NFL-FA-15,fruechte,75,15.0,2871,isaac,,,,,6f3bc434-6f8f-40f5-976c-c03fe3fe55e3,1991-03-07,17339.0,29056.0,,2970698.0,7.0,['WR'],10807.0,9999999.0,WR,,651583.0,,,
,,DEN,Roach,,malcolmroach,nfl,,Madison Prep (LA),RDE,Texas,Malcolm,True,,1710268207464.0,Malcolm Roach,,26.0,290,920752.0,2.0,Active,[],,,#malcolmroach-NFL-DEN-97,roach,75,97.0,7018,malcolm,,,,,bb01a04e-0d54-4fc6-98c8-2b8614d07afe,1998-06-09,21899.0,33118.0,,4039064.0,4.0,['DL'],14726.0,9999999.0,DT,,,"{'channel_id': '1113708827481501696', 'rookie_year': '2020'}",FBAADFD89C30,
,,,Mewhort,,jackmewhort,nfl,,Saint John's Jesuit (OH),,Ohio State,Jack,False,,1533161402357.0,Jack Mewhort,9639.0,30.0,305,,,Inactive,[],,,#jackmewhort-NFL-FA-75,mewhort,"6'6""",75.0,1970,jack,,,,,0fa7b955-04fe-4d85-b9f1-6ce4db29c9e8,1990-08-30,16231.0,27587.0,,16745.0,6.0,['OL'],9420.0,9999999.0,G,,,,,
,,,Griffith,,jonasgriffith,nfl,,Academy at Shawnee (KY),,Indiana State,Jonas,True,,1722982511157.0,Jonas Griffith,,27.0,250,873910.0,,Active,[],,,#jonasgriffith-NFL-FA-50,griffith,76,50.0,7421,jonas,,,,,5180ecc5-bbd9-42b6-b227-c5efdb53cf80,1997-01-27,22401.0,33197.0,,3908558.0,4.0,['LB'],15013.0,9999999.0,LB,,,"{'channel_id': '1113708824562266112', 'rookie_year': '2020'}",F6F088357EB1,
,,,Jarrett,,peeweejarrett,nfl,,Herbert Hoover (IA),,West Florida,Peewee,True,,1715038859033.0,Peewee Jarrett,,,221,1478251.0,,Active,[],,,#peeweejarrett-NFL-FA-14,jarrett,74,14.0,12239,peewee,,,,,7c3bf5f0-0976-11ef-94bd-4b7257e2f0c1,,,,,,0.0,['QB'],18203.0,9999999.0,QB,,,"{'channel_id': '1116852718082719744', 'rookie_year': '2024'}",4E0D85904D0C,
,,,Whitfield,,kermitwhitfield,nfl,00-0033641,Jones,,Florida State,Kermit,True,,1546401315643.0,Kermit Whitfield,,28.0,184,,,Active,[],,,#kermitwhitfield-NFL-FA-17,whitfield,68,17.0,4785,kermit,,,,,c9610dd0-298c-4dfe-a88c-bac4466d14e3,1993-10-08,19440.0,,,,5.0,['WR'],11884.0,9999999.0,WR,,,{'channel_id': '1116853021326704640'},,
PUP,,TEN,Dowell,,coltondowell,nfl,,Wilson Central (TN),,Tennessee-Martin,Colton,True,,1724800557214.0,Colton Dowell,,25.0,212,1052852.0,8.0,Active,[],,Knee - ACL,#coltondowell-NFL-TEN-14,dowell,75,14.0,11046,colton,,,,,7939f84a-bb43-43d3-83e2-ce2fa4ca829d,1999-04-19,,,,,1.0,['WR'],17413.0,562.0,WR,,,"{'channel_id': '1113708832833433600', 'rookie_year': '2023'}",3413ACE820D0,Surgery
,,,Decker,,ericdecker,nfl,00-0027690,Rocori (MN),,Minnesota,Eric,False,,1535399709420.0,Eric Decker,5819.0,33.0,214,,,Inactive,[],,,#ericdecker-NFL-FA-81,decker,"6'3""",81.0,558,eric,,,,,f35de60c-6841-4f8a-835e-02ba528be416,1987-03-15,11182.0,24062.0,,13271.0,10.0,['WR'],6505.0,9999999.0,WR,,298955.0,,,
,,,Uzodinma,,amechiuzodinma,nfl,,University (FL),,Ball State,Amechi,True,,1710349556505.0,Amechi Uzodinma,,25.0,189,1125074.0,,Inactive,[],,,#amechiuzodinma-NFL-FA-35,uzodinma,71,35.0,11127,amechi,,,,,b9727180-e792-11ed-b0a9-55175ce53e7d,1998-06-01,,,,,1.0,['DB'],17428.0,9999999.0,CB,,,"{'channel_id': '1116852654429962240', 'rookie_year': '2023'}",0B583AADF13A,
,,,Culliver,,chrisculliver,nfl,,Garner (NC),,South Carolina,Chris,False,,1507593061995.0,Chris Culliver,6624.0,32.0,199,,,Injured Reserve,[],,,#chrisculliver-NFL-FA-35,culliver,"6'0""",35.0,976,chris,,,,,0c68f083-c3a0-433f-931e-d8216dc3fcd4,1988-08-17,13432.0,24867.0,,14044.0,9.0,['DB'],7555.0,9999999.0,CB,,406193.0,,,
,,,Bergen,,sambergen,nfl,,,,Rutgers,Sam,False,,,Sam Bergen,,26.0,236,,,Inactive,[],,,#sambergen-NFL-FA-40,bergen,"6'0""",40.0,3871,sam,,,,,,1992-03-06,18693.0,29982.0,,,0.0,['RB'],11395.0,9999999.0,FB,,556482.0,,,
,,,Rayford,,chrisrayford,nfl,,Byhalia,,Mississippi State,Chris,True,,,Chris Rayford,,25.0,200,,,Active,[],,,#chrisrayford-NFL-FA-0,rayford,72,0.0,6615,chris,,,,,a75b97a1-2c3f-4026-83f8-ee375dd79458,1996-05-28,21347.0,,,,3.0,['DB'],,9999999.0,DB,,,{'channel_id': '1116853280266256384'},,
,,,Green,,marcusgreen,nfl, 00-0035296,North Pontotoc (MS),,Louisiana-Monroe,Marcus,True,,1599188454818.0,Marcus Green,,25.0,191,,,Active,[],,,#marcusgreen-NFL-FA-89,green,68,89.0,6288,marcus,,,,,3ca39a84-5ba9-445d-bf6e-895be06edb34,1996-08-13,21139.0,32035.0,,3124964.0,3.0,['WR'],13979.0,1680.0,WR,,821868.0,{'channel_id': '1116853226650468352'},,
,,HOU,Erving,,cameronerving,nfl,00-0032145,Colquitt County (GA),,Florida State,Cameron,True,,1693433718012.0,Cameron Erving,10384.0,32.0,313,553285.0,,Active,[],,,#cameronerving-NFL-HOU-73,erving,77,73.0,2324,cameron,,,,,a25c5a77-967c-4a4f-a885-0178868bbf67,1992-08-23,16780.0,28407.0,,2512504.0,9.0,['OL'],10264.0,9999999.0,T,,,"{'channel_id': '1116852793978650624', 'rookie_year': '2015'}",887704ACE3CF,
,,IND,Speed,,ejspeed,nfl, 00-0034987,North Crowley (TX),LOLB,Tarleton State,E.J.,True,,1704752137474.0,E.J. Speed,,29.0,227,791843.0,1.0,Active,[],,,#ejspeed-NFL-IND-45,speed,76,45.0,6218,ej,,,,,e653effc-2bdc-4bfe-bf3d-272e783ae4c4,1995-06-01,21117.0,31996.0,,3071353.0,5.0,['LB'],13984.0,384.0,LB,,,"{'channel_id': '1113708782036217856', 'rookie_year': '2019'}",C7104462E671,
,,,McCloud,,zachmccloud,nfl,,Santaluces (FL),,Miami (FL),Zach,True,,,Zach McCloud,,25.0,235,910731.0,,Active,[],,,#zachmccloud-NFL-FA-57,mccloud,74,57.0,8531,zach,,,,,ad0079b0-c957-11ec-b1d2-d334745b4f4f,1998-04-22,,,,,2.0,['LB'],16302.0,9999999.0,LB,,,"{'channel_id': '1116853491973750784', 'rookie_year': '2022'}",2A902142FB6D,
,,,Mandell,,dangelomandell,nfl,,Del Norte (CA),,BYU,D'Angelo,True,,,D'Angelo Mandell,,25.0,192,1131212.0,,Active,[],,,#dangelomandell-NFL-FA-16,mandell,73,16.0,11507,dangelo,,,,,32271ae0-f67a-11ed-9ca3-c9c688133e4f,1998-12-27,,,,,1.0,['DB'],17587.0,9999999.0,CB,,,"{'channel_id': '1116852697715179520', 'rookie_year': '2023'}",BB163FE642FE,
,,,Williams,,timwilliams,nfl,00-0033915,University Lab (LA),,Alabama,Tim,True,,1573000817906.0,Tim Williams,,28.0,252,,,Active,[],,,#timwilliams-NFL-FA-47,williams,75,47.0,4100,tim,,,,,e1677afe-2d03-4e11-b6af-ba3810720799,1993-11-12,18946.0,30191.0,,3054862.0,5.0,['LB'],11952.0,1144.0,LB,,,{'channel_id': '1116852925344251904'},,
,,,Ento,,kabionento,nfl, 00-0035079,Dollarway (AR),,Colorado,Kabion,True,,1630596909278.0,Kabion Ento,,26.0,187,913554.0,,Active,[],,,#kabionento-NFL-FA-48,ento,73,48.0,6619,kabion,,,,,23424024-3b7b-4de1-9b0c-09d170f845b3,1996-01-03,21418.0,32268.0,,4040870.0,3.0,['DB'],14104.0,9999999.0,CB,,,{'channel_id': '1116853281075757056'},,
,,,Day,,ryanday,nfl,,,,,Ryan,True,,,Ryan Day,11239.0,,,,,Inactive,[],,,#ryanday-NFL-FA-0,day,,0.0,4893,ryan,,,,,,,19791.0,,,,0.0,,,9999999.0,,,,{'channel_id': '1116853035755110400'},,
,,,Smith,,jaylonsmith,nfl,00-0033052,Bishop Luers (IN),,Notre Dame,Jaylon,True,,1703728228756.0,Jaylon Smith,11327.0,28.0,240,749966.0,,Active,[],,,#jaylonsmith-NFL-FA-49,smith,74,49.0,3167,jaylon,,,,,0bf6b11f-920a-4ced-9a69-0b4afc5df36f,1995-06-14,17926.0,29268.0,,3052896.0,8.0,['LB'],10801.0,9999999.0,LB,,,"{'channel_id': '1116852833765818368', 'rookie_year': '2016'}",05D4653BBC49,
,,,Locke,,jefflocke,nfl,00-0030405,Mountain Ridge (AZ),,UCLA,Jeff,False,,1535831709072.0,Jeff Locke,,30.0,195,,,Inactive,[],,,#jefflocke-NFL-FA-2,locke,"6'0""",2.0,1533,jeff,,,,,e6166069-6d2c-4121-9988-bc7b533e1558,1989-09-27,15148.0,26778.0,,15926.0,7.0,['P'],8985.0,9999999.0,P,,461708.0,,,
,,,Paton,,georgepaton,nfl,,,,,George,False,,,George Paton,12163.0,,,,,Inactive,[],,,#georgepaton-NFL-FA-0,paton,,0.0,4882,george,,,,,,,19782.0,,,,0.0,,,9999999.0,,,,,,
,,,Jones,,trentejones,nfl,,Grayson (GA),,Michigan,Trente,True,,,Trente Jones,,23.0,305,1181670.0,,Active,[],,,#trentejones-NFL-FA-68,jones,76,68.0,12152,trente,,,,,95638840-07c3-11ef-8815-21fd7c9a9b16,2001-01-15,,,,,0.0,['OT'],,9999999.0,OT,,,"{'channel_id': '1116852714978934784', 'rookie_year': '2024'}",93979D7A5F57,
,,,Meriweather,,brandonmeriweather,nfl,,Apopka (FL),,Miami,Brandon,False,,,Brandon Meriweather,,36.0,197,,,Inactive,[],,,#brandonmeriweather-NFL-FA-22,meriweather,"5'11""",22.0,134,brandon,,,,,32e4b488-5109-4186-963e-ce7907dfc9e1,1984-01-14,3760.0,8278.0,,10468.0,13.0,['DB'],5369.0,9999999.0,FS,,,,,
,,,Duhart,,jonathanduhart,nfl, 00-0035325,Manchester (VA),,Old Dominion,Jonathan,True,,1586992538062.0,Jonathan Duhart,,25.0,215,,,Active,[],,,#jonathanduhart-NFL-FA-0,duhart,75,0.0,6320,jonathan,,,,,596eeb31-4af3-48aa-a87e-59aa2f497fb9,1996-06-26,21224.0,32452.0,,3123226.0,3.0,['WR'],13710.0,9999999.0,WR,,835022.0,{'channel_id': '1116853230710554624'},,
Questionable,,BUF,Samuel,,curtissamuel,nfl,00-0033282,Erasmus Hall (NY),RWR,Ohio State,Curtis,True,,1725243634610.0,Curtis Samuel,12219.0,28.0,195,821389.0,1.0,Active,[],,Undisclosed,#curtissamuel-NFL-BUF-1,samuel,71,1.0,4082,curtis,,,,,66a21b6d-97e5-4732-8bb0-062145d6bbc6,1996-08-11,18928.0,30153.0,,3121427.0,7.0,['WR'],11710.0,117.0,WR,,821389.0,"{'channel_id': '1113708756358688768', 'rookie_year': '2017'}",8DC039B5CB8D,
,,CLE,LeMay,,bennylemay,nfl,,Butler (NC),,Charlotte,Benny,True,,1641490817822.0,Benny LeMay,,24.0,220,944381.0,,Active,[],,,#bennylemay-NFL-CLE-16,lemay,68,16.0,7048,benny,,,,,46cf23c5-7096-4f18-a3d8-59f0befc95ff,1997-10-18,21789.0,33309.0,,4045702.0,2.0,['RB'],14532.0,9999999.0,RB,,,{'channel_id': '1116853326835613696'},,
,,,Williams,,jordanwilliams,nfl,00-0031866,Gainesville (FL),,Tennessee,Jordan,False,,1596168019763.0,Jordan Williams,,27.0,262,,,Inactive,[],,,#jordanwilliams-NFL-FA-52,williams,"6'4""",52.0,2630,jordan,,,,,6baa540c-d745-4804-b20b-20dae69d0d9f,1993-03-23,17098.0,28943.0,,2577718.0,5.0,['LB'],10717.0,917.0,LB,,,,,
,,NYJ,McDonald,,willmcdonald,nfl,,Waukesha North (WI),RDE,Iowa State,Will,True,,1705685411125.0,Will McDonald,,25.0,236,,2.0,Active,[],,,#willmcdonald-NFL-NYJ-99,mcdonald,76,99.0,10883,will,,,,,21792a74-7864-4234-bc47-891d5f9e7024,1999-06-04,,,,,1.0,"['DL', 'LB']",16971.0,558.0,DE,,,"{'channel_id': '1113708742093860864', 'rookie_year': '2023'}",AF0BDEA9A012,
,,,Gaine,,briangaine,nfl,,,,,Brian,False,,,Brian Gaine,13052.0,,,,,Inactive,[],,,#briangaine-NFL-FA-0,gaine,,0.0,4887,brian,,,,,,,19785.0,,,,0.0,,,9999999.0,,,,,,
,,SF,Bartch,,benbartch,nfl,,Blanchet Catholic (OR),OL,St. John's (MN),Ben,True,,1724200827791.0,Ben Bartch,,26.0,315,1214245.0,,Active,[],,,#benbartch-NFL-SF-78,bartch,78,78.0,7060,ben,,,,,53b64223-ded9-41c1-9d2b-a8c2de8963d0,1998-07-22,22012.0,32786.0,,4611506.0,4.0,['OL'],14544.0,9999999.0,OL,,,"{'channel_id': '1113708875573391360', 'rookie_year': '2020'}",AC4BC10D998A,
,,,Jenkins,,jarvisjenkins,nfl,00-0027979,Daniel (SC),,Clemson,Jarvis,False,,1544195424488.0,Jarvis Jenkins,,33.0,300,,,Inactive,[],,,#jarvisjenkins-NFL-FA-94,jenkins,76,94.0,916,jarvis,,,,,5c453cab-dfd6-4c8f-ad31-f872229c6e06,1988-04-24,13165.0,24828.0,,14019.0,11.0,['DL'],7470.0,9999999.0,DE,,,,,
,,,Theaker,,natetheaker,nfl, 00-0033663,Lakeland (MI),,"Wayne State, Mich.",Nate,True,,1565485525630.0,Nate Theaker,,28.0,315,,,Active,[],,,#natetheaker-NFL-FA-69,theaker,77,69.0,4575,nate,,,,,c242081f-f312-4e15-8de3-854dfdc2bccf,1993-10-06,19462.0,30789.0,,2613168.0,5.0,['OL'],11822.0,9999999.0,G,,,{'channel_id': '1116852989953310720'},,
,,,Jones,,lennyjones,nfl,00-0032719,San Leandro (CA),,Nevada,Lenny,True,,1556843108512.0,Lenny Jones,,30.0,270,,,Active,[],,,#lennyjones-NFL-FA-91,jones,75,91.0,3793,lenny,,,,,f5181047-2dbb-4058-bed6-34464a138867,1991-08-08,18607.0,29767.0,,2573947.0,6.0,['DL'],11552.0,9999999.0,DE,,,{'channel_id': '1116852907510071296'},,
,,,Tannehill,,ryantannehill,nfl,00-0029701,Big Spring (TX),,Texas A&M,Ryan,True,,1722105949221.0,Ryan Tannehill,7417.0,35.0,217,380960.0,,Active,[],,,#ryantannehill-NFL-FA-17,tannehill,76,17.0,1049,ryan,,,,,5812204c-6dae-4450-8011-99e0f72864ac,1988-07-27,13799.0,25718.0,,14876.0,12.0,['QB'],8040.0,322.0,QB,,380960.0,"{'channel_id': '1116852642308423680', 'rookie_year': '2012'}",2330474C3B6A,
,,,Wing,,bradwing,nfl,,Parkview Baptist (LA),,LSU,Brad,True,,1520705101158.0,Brad Wing,,32.0,205,540529.0,,Active,[],,,#bradwing-NFL-FA-3,wing,75,3.0,1337,brad,,,,,97d1bb60-84c7-4ef3-8427-c882e8091781,1991-01-27,14854.0,27059.0,,16241.0,11.0,['P'],9576.0,9999999.0,P,,540529.0,"{'channel_id': '1116852731848425472', 'rookie_year': '2013'}",F37914BCC7BD,
,,,Durham,,stepdurham,nfl,00-0034327,Atlantic Coast,,Georgia Tech,Step,True,,1554327050244.0,Step Durham,,26.0,194,,,Active,[],,,#stepdurham-NFL-FA-47,durham,71,47.0,5595,step,,,,,8564968a-505e-4954-81a3-3d288204cf91,1995-06-10,20593.0,31521.0,,3116618.0,4.0,['DB'],13415.0,9999999.0,CB,,,{'channel_id': '1116853129128706048'},,
,,,Horn,,joehorn,nfl,,Peachtree Ridge,,Missouri Western,Joe,True,,,Joe Horn,,27.0,174,,,Active,[],,,#joehorn-NFL-FA-87,horn,70,87.0,6686,joe,,,,,1e2bbdff-9e08-438f-8506-cafe83066222,1994-09-16,8079.0,,,,3.0,['WR'],,9999999.0,WR,,,{'channel_id': '1116853292970803200'},,
,,BUF,Rapp,,taylorrapp,nfl, 00-0035663,Sehome (WA),FS,Washington,Taylor,True,,1722873904985.0,Taylor Rapp,14078.0,26.0,208,913599.0,1.0,Active,[],,,#taylorrapp-NFL-BUF-9,rapp,72,9.0,5882,taylor,,,,,1cccc54a-c168-4359-bfbc-30556db0ca73,1997-12-22,20919.0,31893.0,,4039007.0,5.0,['DB'],13507.0,358.0,DB,,,"{'channel_id': '1113708754752270336', 'rookie_year': '2019'}",26696768CE43,
,,BUF,Williams,,darylwilliams,nfl,00-0031567,Lake Dallas (TX),,Oklahoma,Daryl,True,,1647267912862.0,Daryl Williams,10498.0,29.0,330,542899.0,,Active,[],,,#darylwilliams-NFL-BUF-75,williams,78,75.0,2407,daryl,,,,,b167835a-3f62-4755-9acd-319c5a3903e3,1992-08-31,16863.0,28490.0,,2514244.0,7.0,['OL'],10284.0,9999999.0,OL,,,{'channel_id': '1116852802736357376'},,
,,,Moore,,marlonmoore,nfl,,Natomas (CA),,Fresno State,Marlon,False,,,Marlon Moore,,33.0,190,,,Inactive,[],,,#marlonmoore-NFL-FA-15,moore,"6'0""",15.0,511,marlon,,,,,52b93a85-f011-4049-8268-cd4de896b6e2,1987-09-03,10961.0,24280.0,,13616.0,10.0,['WR'],6812.0,9999999.0,WR,,286417.0,,,
,,,Jackson,,bijhonjackson,nfl,00-0034552,El Dorado (AR),,Arkansas,Bijhon,True,,1578437742922.0,Bijhon Jackson,,26.0,339,,,Active,[],,,#bijhonjackson-NFL-FA-0,jackson,73,0.0,5414,bijhon,,,,,d753a8d1-abb0-404a-ae73-ae8beab3d28f,1995-11-06,20432.0,31681.0,,3128698.0,4.0,['DL'],13049.0,9999999.0,NT,,,{'channel_id': '1116853098753556480'},,
,,TB,McCollum,,zyonmccollum,nfl,,Ball (TX),LCB,Sam Houston,Zyon,True,,1707789603192.0,Zyon McCollum,,25.0,199,1057770.0,1.0,Active,[],,,#zyonmccollum-NFL-TB-27,mccollum,74,27.0,8384,zyon,,,,,76d1f310-5877-42d1-99b2-b9ab4b8d826b,1999-05-03,,,,,2.0,['DB'],15943.0,9999999.0,DB,,,"{'channel_id': '1113708730525970432', 'rookie_year': '2022'}",D6975239F216,
